pub_date,title,venue,excerpt,citation,url_slug,paper_url,slides_url,category
2026-06-01, Bumper: Hinting Instruction Usefulness for Robust Unified Caches, ISCA 2026, Retirement based hints for code caching in the L2, , Bumper, https://ease-lab.github.io/ease_website/pubs/BUMPER_ISCA26.pdf, , papers
2026-02-01, Tempranillo: Non-Speculative Early Register Release, HPCA 2026, Early non-speculative reclamation of PRF registers based on non-flush and overwrites counters, , Tempranillo, https://ieeexplore.ieee.org/abstract/document/11408522, , papers
2025-02-01, To Cross or Not to Cross Pages for Prefetching?, HPCA 2025, Cross page prefetch dynamic throttling, , Cross-page-prefetch, https://ieeexplore.ieee.org/abstract/document/10946723/, , papers
2022-01-01, Identifying and Exploiting Sparse Branch Correlations for Optimizing Branch Prediction, arXiv, Sparse branch prediction using offline lasso model for correlation detection and online inference, , sparseBP, https://arxiv.org/abs/2207.14033, , papers
2019-06-01, A Neural Network Prefetcher for Arbitrary Memory Access Patterns, "ACM Transactions on Architecture and Code Optimization (TACO)", Neural network fully connected bit-level address prefetcher (with LSTM enhancements), , NNprefetch,  https://doi.org/10.1145/3423167, ,  papers
2015-06-01, Semantic Locality and Context-based Prefetching Using Reinforcement Learning,  ISCA 2015, contextual-Bandits semantic RL prefetcher correlating program context with addresses/deltas, , ContextRL, https://leeorp.github.io/papers/context_based_prefetching_ISCA15.pdf, https://leeorp.github.io/files/ISCA_2015_Semantic_Locality_and_Context_Based_Prefeching.pdf, papers

2025-01-01, Method and corresponding apparatus for filtering prefetch requests, Patent, "Georgios Vavoliotis, Boris Grot, Leeor Peled", EP4668122A1, , https://patents.google.com/patent/EP4668122A1, , patents
2025-01-01, Efficient load value prediction based on program context and misprediction control mechanism for pipelined microprocessor designs, Patent, "Kleovoulos Kalaitzidisk, Constantin Berestizshevsky, Leeor Peled, Elki Waserman, Lixia Yang", WO2025050307A1, , https://patents.google.com/patent/WO2025050307A1, , patents
2024-01-01, Crash-consistent persistent memory devices and methods, Patent, "Hillel Avni, Leeor Peled, Raanan Sade, Idan Levy", WO2024217677A1, , https://patents.google.com/patent/WO2024217677A1, , patents
2024-01-01, Function as a service (FaaS) system enhancements, Patent, "with Andrew Herdrich et al.", US Patent 11,922,220, , https://patents.google.com/patent/US11922220B2, , patents
2024-01-01, Apparatus method and system for ensuring quality of service for multi-threading processor cores, Patent, "Andrew HerdrichIan Steiner, Leeor Peled, Michael Prinke ,Eylon Toledano", US Patent EP3716065A1, , https://patents.google.com/patent/EP3716065B1 , , patents
2023-01-01, Methods and apparatus to dynamically enable and/or disable prefetchers, Patent, , US Patent 11720364B2, , https://patents.google.com/patent/US11720364B2, , patents
2022-01-01, Method and computing arrangement for loading data into data cache from data memory, Patent, "Shuki Zanyovka, Moshe Genish, Leeor Peled",  WO2022100845A1, , https://patents.google.com/patent/WO2022100845A1 , , patents
2022-01-01, An apparatus and method for performing enhanced pointer chasing prefetcher, Patent, "Leeor Peled, Nikolay Chernuha, Lyu Nan", WO2022171309A1, ,https://patents.google.com/patent/WO2022171309A1/en?oq=PCT%2fEP2021%2f053637 , , patents
2016-01-01, Branch Predictor with Branch Resolution Code Injection, Patent, "Leeor Peled, Gadi Haber, Yiannakis Sazeides", US patent US20180173534A1, , https://patents.google.com/patent/US20180173534A1 , , patents
2016-01-01, Pipelined Prefetcher for Parallel Advancement of Multiple Data Streams, Patent, "Leeor Peled, Joseph Nuzman, Larisa Novakovsky", US patent 10157136B2, , https://patents.google.com/patent/US10157136B2 , , patents
2011-01-01, Systems apparatuses and methods for a hardware and software system to automatically decompose a program to multiple parallel threads, Patent, , US Patent 20110167416 A1, , http://www.google.com.ar/patents/US20110167416 , , patents
